"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"2816","04/23/2009","South Carolina","Highway 31 Fire","Fire Management Assistance Declaration"
"1833","04/23/2009","Georgia","Severe Storms, Flooding, Tornadoes, and Straight-line Winds","Major Disaster Declaration"
"1832","04/22/2009","Indiana","Severe Storms, Tornadoes, and Flooding","Major Disaster Declaration"
"1831","04/21/2009","Florida","Severe Storms, Flooding, Tornadoes, and Straight-line Winds","Major Disaster Declaration"
"2805","04/10/2009","Texas","Electra West Fire","Fire Management Assistance Declaration"
"2807","04/10/2009","Texas","Cement Mountain Fire","Fire Management Assistance Declaration"
"2808","04/10/2009","Oklahoma","Midwest Choctaw Fire","Fire Management Assistance Declaration"
"2809","04/10/2009","Oklahoma","McClain Fire","Fire Management Assistance Declaration"
"2806","04/10/2009","Texas","Montague Fire Complex","Fire Management Assistance Declaration"
"2810","04/10/2009","Texas","Breckenridge Fire","Fire Management Assistance Declaration"
"2811","04/10/2009","Oklahoma","Healdton Carter County Fire","Fire Management Assistance Declaration"
"2815","04/10/2009","Texas","617 Fire","Fire Management Assistance Declaration"
"2813","04/10/2009","Oklahoma","Mulhull Fire","Fire Management Assistance Declaration"
"2814","04/10/2009","Texas","1148 Fire","Fire Management Assistance Declaration"
"2812","04/10/2009","Oklahoma","Velma Fire","Fire Management Assistance Declaration"
"1830","04/09/2009","Minnesota","Severe Storms and Flooding","Major Disaster Declaration"
"2804","04/07/2009","Texas","Steel Fire","Fire Management Assistance Declaration"
"2803","04/05/2009","Texas","Holiday Beach Fire","Fire Management Assistance Declaration"
"2802","04/04/2009","Texas","Magic City Fire","Fire Management Assistance Declaration"
"2801","04/03/2009","Texas","Lagarto Fire","Fire Management Assistance Declaration"
"3304","03/26/2009","Minnesota","Severe Storms and Flooding","Emergency Declaration"
"1829","03/24/2009","North Dakota","Severe Storms and Flooding","Major Disaster Declaration"
"2800","03/20/2009","Texas","Greenwood Fire","Fire Management Assistance Declaration"
"1828","03/05/2009","Indiana","Severe Winter Storm","Major Disaster Declaration"
"2799","03/05/2009","Oklahoma","Taloga Fire","Fire Management Assistance Declaration"
"2798","03/05/2009","Texas","Tuscola Fire","Fire Management Assistance Declaration"
"1827","03/04/2009","New York","Severe Winter Storm","Major Disaster Declaration"
"2797","03/03/2009","Texas","Loma Del Norte Fire","Fire Management Assistance Declaration"
"1824","03/02/2009","Oregon","Severe Winter Storm, Record and Near Record Snow, Landslides, and Mudslides","Major Disaster Declaration"
"1825","03/02/2009","Washington","Severe Winter Storm and Record and Near Record Snow","Major Disaster Declaration"
"1826","03/02/2009","Illinois","Severe Winter Storm","Major Disaster Declaration"
"2796","02/28/2009","Texas","Wilderness Ridge Fire","Fire Management Assistance Declaration"
"2795","02/27/2009","Texas","Rhodes Ranch Fire","Fire Management Assistance Declaration"
"2794","02/25/2009","Texas","Clyde Fire","Fire Management Assistance Declaration"
"1822","02/17/2009","Missouri","Severe Winter Storm","Major Disaster Declaration"
"1821","02/17/2009","Tennessee","Severe Winter Storms and Flooding","Major Disaster Declaration"
"1823","02/17/2009","Oklahoma","Severe Winter Storm","Major Disaster Declaration"
"1820","02/15/2009","Oklahoma","Severe Storms and Tornadoes","Major Disaster Declaration"
"1819","02/06/2009","Arkansas","Severe Winter Storm","Major Disaster Declaration"
"1818","02/05/2009","Kentucky","Severe Winter Storm and Flooding","Major Disaster Declaration"
"3303","01/30/2009","Missouri","Severe Winter Storm","Emergency Declaration"
"1817","01/30/2009","Washington","Severe Winter Storm, Landslides, Mudslides, and Flooding","Major Disaster Declaration"
"3302","01/28/2009","Kentucky","Severe Winter Storm","Emergency Declaration"
"3301","01/28/2009","Arkansas","Severe Winter Storm","Emergency Declaration"
"1816","01/14/2009","Vermont","Severe Winter Storm","Major Disaster Declaration"
"3300","01/13/2009","District of Columbia (DC)","56th Presidential Inauguration","Emergency Declaration"
"1815","01/09/2009","Maine","Severe Winter Storm and Flooding","Major Disaster Declaration"
"2793","01/07/2009","Colorado","Olde Stage Fire","Fire Management Assistance Declaration"
"1813","01/05/2009","Massachusetts","Severe Winter Storm and Flooding","Major Disaster Declaration"
"1814","01/05/2009","Hawaii","Severe Storms and Flooding","Major Disaster Declaration"
"1812","01/02/2009","New Hampshire","Severe Winter Storm","Major Disaster Declaration"
